2021-11-10 17:03:13.092 - Info	Reading mapping directives...
2021-11-10 17:03:13.104 - Verbose	<FileToPath map="PluginAssemblies\**\*.*" to="..\..\Plugins\bin\**" />
2021-11-10 17:03:13.116 - Warning	Map folder 'C:\Users\syed.amanullah\source\repos\SF365\Plugins\bin\' does not exist.
2021-11-10 17:03:13.117 - Verbose	<FileToPath map="WebResources\*.*" to="..\..\Webresources\Webresources\**" />
2021-11-10 17:03:13.118 - Warning	Map folder 'C:\Users\syed.amanullah\source\repos\SF365\Webresources\Webresources\' does not exist.
2021-11-10 17:03:13.119 - Verbose	<FileToPath map="WebResources\**\*.*" to="..\..\Webresources\Webresources\**" />
2021-11-10 17:03:13.120 - Warning	Map folder 'C:\Users\syed.amanullah\source\repos\SF365\Webresources\Webresources\' does not exist.
2021-11-10 17:03:13.405 - Warning	Read-only files will be over-written or deleted.
2021-11-10 17:03:13.439 - Info	
Extracting C:\Users\syed.amanullah\AppData\Local\Temp\tmpF1F4.zip to C:\Users\syed.amanullah\source\repos\SF365\Solutions\package

2021-11-10 17:03:13.631 - Info	Skipping localization
2021-11-10 17:03:13.646 - Info	Processing Component: Entities
2021-11-10 17:03:13.658 - Info	 - Account
2021-11-10 17:03:13.682 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\SF365\Solutions\package\Entities\Account\Formulas/account-opendeals.xaml
2021-11-10 17:03:13.696 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\SF365\Solutions\package\Entities\Account\Formulas/account-openrevenue.xaml
2021-11-10 17:03:13.750 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\SF365\Solutions\package\Entities\Account\FormXml\main\{ff49442f-8c60-4877-bdae-8fe51e6f4636}.xml
2021-11-10 17:03:13.761 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\SF365\Solutions\package\Entities\Account\FormXml\main\{b053a39a-041a-4356-acef-ddf00182762b}.xml
2021-11-10 17:03:13.769 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\SF365\Solutions\package\Entities\Account\FormXml\main\{8448b78f-8f42-454e-8e2a-f8196b0419af}.xml
2021-11-10 17:03:13.775 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\SF365\Solutions\package\Entities\Account\RibbonDiff.xml
2021-11-10 17:03:13.781 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\SF365\Solutions\package\Entities\Account\Entity.xml
2021-11-10 17:03:13.786 - Info	 - Contact
2021-11-10 17:03:13.790 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\SF365\Solutions\package\Entities\Contact\FormXml\main\{894cc46a-b0cb-4ab0-8bf6-200544e46a2d}.xml
2021-11-10 17:03:13.805 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\SF365\Solutions\package\Entities\Contact\FormXml\main\{e06af4d1-2812-45c7-a9c2-9fb73fee7bec}.xml
2021-11-10 17:03:13.810 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\SF365\Solutions\package\Entities\Contact\RibbonDiff.xml
2021-11-10 17:03:13.816 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\SF365\Solutions\package\Entities\Contact\Entity.xml
2021-11-10 17:03:13.820 - Info	 - msdyn_actual
2021-11-10 17:03:13.820 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\SF365\Solutions\package\Entities\msdyn_actual\RibbonDiff.xml
2021-11-10 17:03:13.826 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\SF365\Solutions\package\Entities\msdyn_actual\Entity.xml
2021-11-10 17:03:13.830 - Info	 - msdyn_customerasset
2021-11-10 17:03:13.831 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\SF365\Solutions\package\Entities\msdyn_customerasset\RibbonDiff.xml
2021-11-10 17:03:13.836 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\SF365\Solutions\package\Entities\msdyn_customerasset\Entity.xml
2021-11-10 17:03:13.839 - Info	 - msdyn_iotdevice
2021-11-10 17:03:13.839 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\SF365\Solutions\package\Entities\msdyn_iotdevice\RibbonDiff.xml
2021-11-10 17:03:13.844 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\SF365\Solutions\package\Entities\msdyn_iotdevice\Entity.xml
2021-11-10 17:03:13.847 - Info	 - msdyn_liveconversation
2021-11-10 17:03:13.848 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\SF365\Solutions\package\Entities\msdyn_liveconversation\RibbonDiff.xml
2021-11-10 17:03:13.853 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\SF365\Solutions\package\Entities\msdyn_liveconversation\Entity.xml
2021-11-10 17:03:13.855 - Info	 - msdyn_ocliveworkitem
2021-11-10 17:03:13.856 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\SF365\Solutions\package\Entities\msdyn_ocliveworkitem\RibbonDiff.xml
2021-11-10 17:03:13.861 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\SF365\Solutions\package\Entities\msdyn_ocliveworkitem\Entity.xml
2021-11-10 17:03:13.865 - Info	 - new_contract
2021-11-10 17:03:13.866 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\SF365\Solutions\package\Entities\new_contract\FormXml\card\{c6e05e0d-2a73-412a-be9b-ce14241ab0fa}.xml
2021-11-10 17:03:13.873 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\SF365\Solutions\package\Entities\new_contract\FormXml\main\{7508a1c6-4d46-4534-a7de-e994e361fcac}.xml
2021-11-10 17:03:13.876 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\SF365\Solutions\package\Entities\new_contract\FormXml\quick\{1c5135d8-edd5-4dc4-a25d-778a87643ff9}.xml
2021-11-10 17:03:13.881 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\SF365\Solutions\package\Entities\new_contract\SavedQueries\{ca978b42-af28-4993-bab0-75e514f1e882}.xml
2021-11-10 17:03:13.885 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\SF365\Solutions\package\Entities\new_contract\SavedQueries\{4be43b35-f904-4c8d-a007-9639807543be}.xml
